Trim_ID,Make,Model,Year,Style,Trim,Body_style,Description,Rating,EPA_class,Pct_domestic_content,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Engine_size_inches,Max_horsepower,RPM_max_hp,Max_torque,RPM_max_torque,Transmission_type,Transmission_gears,CO2_emmissions,MPG_city,MPG_highway,MPG_combined,Fuel_capacity_gallons,Range_combined,Range_city,Range_highway,Wheelbase_inches,Length_inches,Width_inches,Height_inches,Ground_clearance_inches,Turning_diameter_ft,Front_wheel_size_inches,Rear_wheel_size_inches,Same_size_wheels,Seating_capacity,Cabin_volume_cubic_ft,Cargo_space_cubic_ft,GVWR_pounds,Curb_weight_pounds,Payload_capacity_pounds,Towing_capacity_pounds
422273,Kia,K5,2022,Kia K5,K5 LX Auto FWD,sedan,"The Kia K5 is one of the most extroverted family sedans and one of the most compelling, with lots of desirable features and a 290-hp engine option.",8.5,Large Cars,0.55,domestic,https://www.caranddriver.com/kia/k5/specs/2022/kia_k5_kia-k5_2022/422273,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_k5_kia-k5_2022-1624460873422.jpg,24685,Front Wheel Drive,Intercooled Turbo Regular Unleaded I-4,1.6,98,180,5500,195,1500,Automatic w/OD,8,5.5,29,38,32,14.8,473.6,429.2,562.4,112.2,193.1,73.2,56.9,5.3,36,16 X 6.5,16 X 6.5,TRUE,5,105.3,16,,,,
425570,Kia,Rio,2022,Kia Rio,Rio LX IVT,sedan,With a sophisticated driving experience and plenty of standard features the subcompact Rio sedan and hatchback offer a lot of car for not a lot of money.,9,Compact Cars,0.05,foreign,https://www.caranddriver.com/kia/rio/specs/2022/kia_rio_kia-rio_2022/425570,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_rio_kia-rio_2022-1634685041217.jpg,17145,Front Wheel Drive,Regular Unleaded I-4,1.6,98,120,6300,112,4500,CVT w/OD,1,4.9,33,41,36,11.9,428.4,392.7,487.9,101.6,172.6,67.9,57.1,5.5,33.5,15 X 5.5,15 X 5.5,TRUE,5,89.9,13.7,,2767,,
421962,Kia,Seltos,2022,Kia Seltos,Seltos S IVT FWD,suv,"Based on the same platform as the Hyundai Kona, the 2022 Kia Seltos offers similarly sharp handling but teams it with a taller ride height and a roomier cabin.",8,Small SUV 2WD,0,foreign,https://www.caranddriver.com/kia/seltos/specs/2022/kia_seltos_kia-seltos_2022/421962,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_seltos_kia-seltos_2022-1624461246368.jpg,23865,Front Wheel Drive,Regular Unleaded I-4,2,122,146,6200,132,4500,CVT w/OD,1,5.7,29,35,31,13.2,409.2,382.8,462,103.5,172,70.9,63.6,7.3,34.8,17 X 7,17 X 7,TRUE,5,,62.8,,3087,,
424759,Kia,Sorento,2022,Kia Sorento,Sorento LX FWD,suv,"Despite a small third row that can shrink the cargo area, the Kia Sorento is a dapper mid-size SUV that's comfy and nice to drive with myriad powertrain options.",8.5,Small SUV 2WD,0.5,domestic,https://www.caranddriver.com/kia/sorento/specs/2022/kia_sorento_kia-sorento_2022/424759,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_sorento_kia-sorento_2022-1629904910865.jpg,30665,Front Wheel Drive,Regular Unleaded I-4,2.5,152,191,6100,181,4000,Automatic w/OD,8,6.8,24,29,26,17.7,460.2,424.8,513.3,110.8,189,74.8,66.7,6.9,,17 X 7,17 X 7,TRUE,7,,75.5,5357,3794,1563,2000
423003,Kia,Soul,2022,Kia Soul,Soul LX IVT,suv,"The 2022 Kia Soul puts the fun in functional with its distinctly boxy design and remarkably roomy cabin, but it doesn't offer all-wheel drive like other SUVs.",8.5,Small Station Wagons,0,foreign,https://www.caranddriver.com/kia/soul/specs/2022/kia_soul_kia-soul_2022/423003,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_soul_kia-soul_2022-1624893056200.jpg,20365,Front Wheel Drive,Regular Unleaded I-4,2,122,147,6200,132,4500,CVT w/OD,1,5.9,28,33,30,14.3,429,400.4,471.9,102.4,165.2,70.9,63,6.7,34.8,16 X 6.5,16 X 6.5,TRUE,5,,,,2844,,
419579,Kia,Stinger,2022,Kia Stinger,Stinger GT-Line RWD,sedan,"Despite the brand's blue-collar roots, the 2022 Kia Stinger has the features, design, and driving verve to take on sports sedans from luxury-branded rivals.",8.5,Midsize Cars,0,foreign,https://www.caranddriver.com/kia/stinger/specs/2022/kia_stinger_kia-stinger_2022/419579,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_stinger_kia-stinger_2022-1636736104082.jpg,37135,Rear Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2.5,152,300,5800,311,1650,Automatic w/OD,8,7.1,22,32,25,15.9,397.5,349.8,508.8,114.4,190.2,73.6,55.1,,36.7,18 X 8,18 X 8,TRUE,5,93.8,,,3611,,
423053,Kia,Telluride,2022,Kia Telluride,Telluride LX FWD,suv,"The three-row Kia Telluride isn't a typical mid-size SUV, it's a genuinely great value with gorgeous styling as well as generous interior space and features.",10,Small SUV 2WD,0.5,domestic,https://www.caranddriver.com/kia/telluride/specs/2022/kia_telluride_kia-telluride_2022/423053,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_telluride_kia-telluride_2022-1624462499049.jpg,34015,Front Wheel Drive,Regular Unleaded V-6,3.8,231,291,6000,262,5200,Automatic w/OD,8,7.6,20,26,23,18.8,432.4,376,488.8,114.2,196.9,78.3,68.9,8,38.8,18 X 7.5,18 X 7.5,TRUE,8,157.1,87,5776,4112,1664,5000
413919,Kia,Cadenza,2020,Kia Cadenza,Cadenza Technology Sedan,sedan,The Cadenza—like the larger K900 and smaller Stinger sports sedan—offers luxury-car comfort and features at a steep discount versus premium-badged rivals.,9,Large Cars,0.117857143,foreign,https://www.caranddriver.com/kia/cadenza/specs/2020/kia_cadenza_kia-cadenza_2020/413919,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_cadenza_kia-cadenza_2020-1581365822657.jpg,38885,Front Wheel Drive,Regular Unleaded V-6,3.3,204,290,6400,253,5200,Automatic w/OD,8,7.8,20,28,23,18.5,425.5,370,518,112.4,196.7,73.6,57.9,,37.2,18 X 7.5,18 X 7.5,TRUE,5,107.8,16,,3799,,
411632,Kia,K900,2020,Kia K900,K900 V6 Luxury,sedan,"Smooth and well-equipped, the K900 is a capable premium sedan with a price that undercuts rival luxury cars.",7.5,Large Cars,0.117857143,foreign,https://www.caranddriver.com/kia/k900/specs/2020/kia_k900_kia-k900_2020/411632,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_k900_kia-k900_2020-1636565151346.jpg,60935,All Wheel Drive,Twin Turbo Premium Unleaded V-6,3.3,204,365,6000,376,1300,Automatic w/OD,8,8.5,18,25,21,20.3,426.3,365.4,507.5,122.2,201.6,75.4,58.7,5.3,,19 X 8.5,19 X 9.5,FALSE,5,110.3,15.3,,4662,,
408076,Kia,Optima,2020,Kia Optima Hybrid,Optima Hybrid EX Auto,sedan,"Despite a handsome exterior and interior, the Kia Optima is a family-friendly sedan with multiple powertrains that doesn't really stand out.",8,Midsize Cars,0.117857143,foreign,https://www.caranddriver.com/kia/optima/specs/2020/kia_optima_kia-optima-hybrid_2020/408076,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/kia_optima_kia-optima-hybrid_2020-1636734313461.jpg,30235,Front Wheel Drive,Gas/Electric I-4,2,122,192,6000,271,1770,Automatic w/OD,6,4.2,40,45,42,15.9,667.8,636,715.5,110.4,191.1,73.2,57.5,5.1,35.8,17 X 7,17 X 7,TRUE,5,104.8,13.4,,,,
