Trim_ID,Make,Model,Year,Style,Trim,Body_style,EPA_class,Pct_domestic_content,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Engine_size_inches,Max_horsepower,RPM_max_hp,Max_torque,RPM_max_torque,Transmission_type,Transmission_gears,CO2_emmissions,MPG_city,MPG_highway,MPG_combined,Fuel_capacity_gallons,Range_combined,Range_city,Range_highway,Wheelbase_inches,Length_inches,Width_inches,Height_inches,Ground_clearance_inches,Turning_diameter_ft,Front_wheel_size_inches,Rear_wheel_size_inches,Same_size_wheels,Seating_capacity,Cabin_volume_cubic_ft,Cargo_space_cubic_ft,GVWR_pounds,Curb_weight_pounds,Payload_capacity_pounds,Towing_capacity_pounds
364267,Mazda,Mazda 2,2014,Mazda 2,Mazda2 4dr HB Auto Touring,hatchback,Compact Cars,0.0,foreign,https://www.caranddriver.com/mazda/mazda-2/specs/2014/mazda_mazda-2_mazda-2_2014/364267,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5856.jpg,17845.0,Front Wheel Drive,Regular Unleaded I-4,1.5,91.0,100.0,6000.0,98.0,4000.0,Automatic w/OD,4,4.8,28.0,34.0,30.0,11.3,339.0,316.40000000000003,384.20000000000005,98.0,155.5,66.7,58.1,NA,32.2,15 X 6,15 X 6,True,5,87.1,27.8,NA,2359.0,NA,NA
364265,Mazda,Mazda 2,2014,Mazda 2,Mazda2 4dr HB Auto Sport,hatchback,Compact Cars,0.0,foreign,https://www.caranddriver.com/mazda/mazda-2/specs/2014/mazda_mazda-2_mazda-2_2014/364265,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5856.jpg,16355.0,Front Wheel Drive,Regular Unleaded I-4,1.5,91.0,100.0,6000.0,98.0,4000.0,Automatic w/OD,4,4.8,28.0,34.0,30.0,11.3,339.0,316.40000000000003,384.20000000000005,98.0,155.5,66.7,58.1,NA,32.2,15 X 6,15 X 6,True,5,87.1,27.8,NA,2359.0,NA,NA
364266,Mazda,Mazda 2,2014,Mazda 2,Mazda2 4dr HB Man Touring,hatchback,Compact Cars,0.0,foreign,https://www.caranddriver.com/mazda/mazda-2/specs/2014/mazda_mazda-2_mazda-2_2014/364266,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5856.jpg,17005.0,Front Wheel Drive,Regular Unleaded I-4,1.5,91.0,100.0,6000.0,98.0,4000.0,Manual w/OD,5,4.6,29.0,35.0,32.0,11.3,361.6,327.70000000000005,395.5,98.0,155.5,66.7,58.1,NA,32.2,15 X 6,15 X 6,True,5,87.1,27.8,NA,2306.0,NA,NA
364264,Mazda,Mazda 2,2014,Mazda 2,Mazda2 4dr HB Man Sport,hatchback,Compact Cars,0.0,foreign,https://www.caranddriver.com/mazda/mazda-2/specs/2014/mazda_mazda-2_mazda-2_2014/364264,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5856.jpg,15515.0,Front Wheel Drive,Regular Unleaded I-4,1.5,91.0,100.0,6000.0,98.0,4000.0,Manual w/OD,5,4.6,29.0,35.0,32.0,11.3,361.6,327.70000000000005,395.5,98.0,155.5,66.7,58.1,NA,32.2,15 X 6,15 X 6,True,5,87.1,27.8,NA,2306.0,NA,NA
355008,Mazda,Mazda Mazdaspeed 3,2013,Mazdaspeed 3,Mazda3 5dr HB Man Mazdaspeed3 Touring,hatchback,Compact,0.0,foreign,https://www.caranddriver.com/mazda/mazdaspeed-3/specs/2013/mazda_mazdaspeed-3_mazdaspeed-3_2013/355008,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5330.jpg,24995.0,Front Wheel Drive,Gas I4,2.3,138.0,263.0,5500.0,280.0,3000.0,Manual,6,8.7,18.0,25.0,21.0,15.9,333.90000000000003,286.2,397.5,103.9,177.6,69.7,57.5,4.7,36.0,18 x 7.5,18 x 7.5,True,5,94.6,42.8,NA,3281.0,NA,NA
338303,Mazda,Mazda CX-7,2012,Mazda CX-7,CX-7 AWD 4dr s Grand Touring,suv,4WD Sport Utility Vehicles,0.0,foreign,https://www.caranddriver.com/mazda/cx-7/specs/2012/mazda_cx-7_mazda-cx-7_2012/338303,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4702.jpg,34335.0,All Wheel Drive,Gas I4,2.3,138.0,244.0,5000.0,258.0,2500.0,Automatic,6,9.8,17.0,21.0,19.0,18.2,345.8,309.4,382.2,108.3,184.3,73.7,64.8,8.2,37.4,19 x 7.5,19 x 7.5,True,5,98.8,58.6,NA,4001.0,NA,NA
338302,Mazda,Mazda CX-7,2012,Mazda CX-7,CX-7 AWD 4dr s Touring,suv,4WD Sport Utility Vehicles,0.0,foreign,https://www.caranddriver.com/mazda/cx-7/specs/2012/mazda_cx-7_mazda-cx-7_2012/338302,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4702.jpg,28950.0,All Wheel Drive,Gas I4,2.3,138.0,244.0,5000.0,258.0,2500.0,Automatic,6,9.8,17.0,21.0,19.0,18.2,345.8,309.4,382.2,108.3,184.3,73.7,64.8,8.2,37.4,18 x 7.5,18 x 7.5,True,5,101.7,58.6,NA,4001.0,NA,NA
338301,Mazda,Mazda CX-7,2012,Mazda CX-7,CX-7 FWD 4dr s Grand Touring,suv,2WD Sport Utility Vehicles,0.0,foreign,https://www.caranddriver.com/mazda/cx-7/specs/2012/mazda_cx-7_mazda-cx-7_2012/338301,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4702.jpg,32635.0,Front Wheel Drive,Gas I4,2.3,138.0,244.0,5000.0,258.0,2500.0,Automatic,6,9.3,18.0,24.0,20.0,18.2,364.0,327.59999999999997,436.79999999999995,108.3,184.3,73.7,64.8,8.2,37.4,19 x 7.5,19 x 7.5,True,5,98.8,58.6,NA,3787.0,NA,NA
338300,Mazda,Mazda CX-7,2012,Mazda CX-7,CX-7 FWD 4dr s Touring,suv,2WD Sport Utility Vehicles,0.0,foreign,https://www.caranddriver.com/mazda/cx-7/specs/2012/mazda_cx-7_mazda-cx-7_2012/338300,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4702.jpg,27250.0,Front Wheel Drive,Gas I4,2.3,138.0,244.0,5000.0,258.0,2500.0,Automatic,6,9.3,18.0,24.0,20.0,18.2,364.0,327.59999999999997,436.79999999999995,108.3,184.3,73.7,64.8,8.2,37.4,18 x 7.5,18 x 7.5,True,5,101.7,58.6,NA,3787.0,NA,NA
338299,Mazda,Mazda CX-7,2012,Mazda CX-7,CX-7 FWD 4dr i Touring,suv,2WD Sport Utility Vehicles,0.0,foreign,https://www.caranddriver.com/mazda/cx-7/specs/2012/mazda_cx-7_mazda-cx-7_2012/338299,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4702.jpg,27385.0,Front Wheel Drive,Gas I4,2.5,151.0,161.0,6000.0,161.0,3500.0,Automatic,5,8.5,20.0,27.0,22.0,16.4,360.79999999999995,328.0,442.79999999999995,108.3,184.3,73.7,64.8,8.1,37.4,17 x 7.0,17 x 7.0,True,5,98.8,58.6,NA,3496.0,NA,NA
